nThreads,avg,min,max,throughput,throughput_times_thousend
1,2116.9,1901.8,3416.1,0.472,472
2,1309.4,1199.7,1925.4,0.764,764
3,1092.7,836,1445.7,0.915,915
4,912.9,852.9,970.5,1.095,1095
5,854.5,799.8,912.8,1.17,1170
6,756,686.8,850.2,1.323,1323
7,735,684.9,818.2,1.36,1360
8,752.8,718.8,807,1.328,1328
9,765.4,716.8,808,1.306,1306
10,790.4,724.6,867.2,1.265,1265
11,756.6,712.9,791,1.322,1322
12,763.6,720.2,970.7,1.31,1310
13,778.3,727,905.3,1.285,1285
14,775.3,734.4,834.4,1.29,1290
15,794.6,722.2,930.2,1.258,1258
16,759.2,703.3,843,1.317,1317
